463,0.0039592,4.66E-05,0.00029285,0.0034396
464,0.0037095,4.25E-05,0.00030508,0.003246
465,0.0034638,3.87E-05,0.00032059,0.0029567
466,0.0032941,3.43E-05,0.00032568,0.0027828
467,0.0030857,3.47E-05,0.00035134,0.0025948
468,0.0029289,3.29E-05,0.00036523,0.0024101
469,0.0027239,2.85E-05,0.00038827,0.0022287
470,0.002558,2.93E-05,0.00040316,0.0020363
471,0.0024084,2.28E-05,0.00042589,0.0018675
472,0.002248,2.00E-05,0.00045774,0.0017132
473,0.0021207,1.90E-05,0.00047372,0.0015608
474,0.0019715,1.94E-05,0.00047805,0.0014185
475,0.0018753,1.83E-05,0.00050159,0.0012896
476,0.0017743,1.63E-05,0.00051329,0.0011827
477,0.0016895,1.85E-05,0.00053292,0.0011064
478,0.0016074,1.33E-05,0.00054512,0.0010185
479,0.0015619,1.23E-05,0.00055479,0.00093431
480,0.0015229,9.74E-06,0.00057359,0.00087658
481,0.0014675,1.39E-05,0.00058591,0.00084043
482,0.0014351,1.39E-05,0.00059633,0.00079002
483,0.0013933,9.22E-06,0.0006124,0.00074459
484,0.001354,8.03E-06,0.00061652,0.00071101
485,0.0013579,1.18E-05,0.0006201,0.00068906
486,0.0013259,8.45E-06,0.00064363,0.00065195
487,0.0013194,9.27E-06,0.00064859,0.00063201
488,0.0013292,6.44E-06,0.00066681,0.00061478
489,0.001323,1.01E-05,0.00067399,0.00061445
490,0.0012967,8.36E-06,0.00067858,0.00058499
491,0.0013023,4.58E-06,0.00070205,0.00056927
492,0.0013117,9.30E-06,0.00072323,0.00056755
493,0.0013368,9.17E-06,0.00075402,0.00054875
494,0.0013677,9.42E-06,0.00078131,0.00055307
495,0.0014175,7.98E-06,0.00080736,0.00055981
496,0.0014555,8.52E-06,0.00086835,0.00056714
497,0.0015425,9.49E-06,0.00092249,0.00058201
498,0.0016088,8.13E-06,0.0009801,0.00059231
499,0.0016742,6.84E-06,0.0010535,0.00061093
500,0.0017629,9.65E-06,0.0011275,0.0006043
501,0.0018539,1.12E-05,0.0012075,0.0006365
502,0.0019578,1.10E-05,0.0012842,0.00063301
503,0.0020535,1.06E-05,0.0013658,0.00064515
504,0.0021718,1.06E-05,0.0014594,0.00065584
505,0.0022656,1.32E-05,0.0015405,0.00070257
506,0.0024197,1.57E-05,0.0016495,0.00070168
507,0.0025438,8.81E-06,0.0017309,0.00072186
508,0.0026308,1.11E-05,0.0018571,0.00071699
509,0.0027601,1.27E-05,0.001972,0.00073701
510,0.0028842,1.21E-05,0.002072,0.00073803
511,0.002963,1.56E-05,0.0021834,0.00072895
512,0.003109,1.34E-05,0.0022978,0.00072783
513,0.0031915,1.31E-05,0.0024156,0.00072308
514,0.0032553,1.23E-05,0.0025042,0.00071299
515,0.0033821,1.18E-05,0.0026125,0.00071076
516,0.003459,1.27E-05,0.0026913,0.00068673
